title,date,time,location,category,description,keywords,source,event_id,is_future,is_online,day_of_week
Hot Chocolate with the Chancellor,2025-12-02,12:30 pm - 1:30 pm,Student Center East,Special event,"A special event event at UIC. Keywords: social, networking, chancellor, student","['social', 'networking', 'chancellor', 'student']",synthetic,1,False,False,Tuesday
Digital Accessibility Training,2025-12-02,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,2,False,True,Tuesday
CRI Public Research Series: Medical Cannabis Competency Framework,2025-12-02,12:00 pm - 1:00 pm,Online,Lecture,"A lecture event at UIC. Keywords: research, medical, public health, presentation","['research', 'medical', 'public health', 'presentation']",synthetic,3,False,True,Tuesday
Digital Accessibility Training,2025-12-03,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,4,True,True,Wednesday
Online Managing Your Mood Workshop,2025-12-03,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,5,True,True,Wednesday
Take a Break with Pawfficer Ham,2025-12-03,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,6,True,False,Wednesday
Student Org Expo: Spring 2026 Event Reservations,2025-12-03,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,7,True,False,Wednesday
Online Managing Your Mood Workshop,2025-12-04,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,8,True,True,Thursday
Take a Break with Pawfficer Ham,2025-12-04,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,9,True,False,Thursday
Student Org Expo: Spring 2026 Event Reservations,2025-12-04,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,10,True,False,Thursday
Library extended hours in December,2025-12-04,12:00 pm - 5:00 pm,UIC Daley Library,Special event,"A special event event at UIC. Keywords: library, study, academic, hours","['library', 'study', 'academic', 'hours']",synthetic,11,True,False,Thursday
Hot Chocolate with the Chancellor,2025-12-09,12:30 pm - 1:30 pm,Student Center East,Special event,"A special event event at UIC. Keywords: social, networking, chancellor, student","['social', 'networking', 'chancellor', 'student']",synthetic,12,True,False,Tuesday
Digital Accessibility Training,2025-12-09,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,13,True,True,Tuesday
CRI Public Research Series: Medical Cannabis Competency Framework,2025-12-09,12:00 pm - 1:00 pm,Online,Lecture,"A lecture event at UIC. Keywords: research, medical, public health, presentation","['research', 'medical', 'public health', 'presentation']",synthetic,14,True,True,Tuesday
Digital Accessibility Training,2025-12-10,10:00 am - 11:00 am,Online,Workshop,"A workshop event at UIC. Keywords: technology, accessibility, training, digital","['technology', 'accessibility', 'training', 'digital']",synthetic,15,True,True,Wednesday
Online Managing Your Mood Workshop,2025-12-10,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,16,True,True,Wednesday
Take a Break with Pawfficer Ham,2025-12-10,12:00 pm - 1:30 pm,Library of the Health Sciences,Special event,"A special event event at UIC. Keywords: stress relief, therapy dog, wellness, relaxation","['stress relief', 'therapy dog', 'wellness', 'relaxation']",synthetic,17,True,False,Wednesday
Student Org Expo: Spring 2026 Event Reservations,2025-12-10,3:00 pm - 5:00 pm,Student Center East,Special event,"A special event event at UIC. Keywords: student organizations, networking, expo, campus","['student organizations', 'networking', 'expo', 'campus']",synthetic,18,True,False,Wednesday
Online Managing Your Mood Workshop,2025-12-11,10:00 am - 11:30 am,Online,Health & Medicine,"A health & medicine event at UIC. Keywords: mental health, wellness, workshop, mood","['mental health', 'wellness', 'workshop', 'mood']",synthetic,19,True,True,Thursday
